,statement,label
0,"Who are the authors of ""Phase diagram of Gaussian-core nematics""?
These people are authors: Santi Prestipino and Franz Saija",1
1,"Who are the authors of ""Phase diagram of Gaussian-core nematics""?
These people are not authors: Santi Prestipino and Franz Saija",0
2,"Who are the authors of ""Phase diagram of Gaussian-core nematics""?
These people are not authors: Yoshifumi Ando",1
3,"Who are the authors of ""Phase diagram of Gaussian-core nematics""?
These people are authors: Yoshifumi Ando",0
4,"Who are the authors of ""The classification of surfaces with p_g=q=1 isogenous to a product of curves""?
These people are authors: Giovanna Carnovale, Francesco Polizzi",1
5,"Who are the authors of ""The classification of surfaces with p_g=q=1 isogenous to a product of curves""?
These people are not authors: Giovanna Carnovale, Francesco Polizzi",0
6,"Who are the authors of ""The classification of surfaces with p_g=q=1 isogenous to a product of curves""?
These people are not authors: B. Geyer, G.L. Klimchitskaya, V.M. Mostepanenko",1
7,"Who are the authors of ""The classification of surfaces with p_g=q=1 isogenous to a product of curves""?
These people are authors: B. Geyer, G.L. Klimchitskaya, V.M. Mostepanenko",0
8,"Who are the authors of ""Loop Quantum Gravity: Four Recent Advances and a Dozen Frequently Asked Questions""?
These people are authors: Abhay Ashtekar",1
9,"Who are the authors of ""Loop Quantum Gravity: Four Recent Advances and a Dozen Frequently Asked Questions""?
These people are not authors: Abhay Ashtekar",0
10,"Who are the authors of ""Loop Quantum Gravity: Four Recent Advances and a Dozen Frequently Asked Questions""?
These people are not authors: D. Li, X. Li, H. Huang, X. Li",1
11,"Who are the authors of ""Loop Quantum Gravity: Four Recent Advances and a Dozen Frequently Asked Questions""?
These people are authors: D. Li, X. Li, H. Huang, X. Li",0
12,"Who are the authors of ""Coulomb Gas on the Keldysh Contour: Anderson-Yuval-Hamann representation of the Nonequilibrium Two Level System""?
These people are authors: Aditi Mitra and Andrew J. Millis",1
13,"Who are the authors of ""Coulomb Gas on the Keldysh Contour: Anderson-Yuval-Hamann representation of the Nonequilibrium Two Level System""?
These people are not authors: Aditi Mitra and Andrew J. Millis",0
14,"Who are the authors of ""Coulomb Gas on the Keldysh Contour: Anderson-Yuval-Hamann representation of the Nonequilibrium Two Level System""?
These people are not authors: Meng Gao, Sen Zhou, and Ziqiang Wang",1
15,"Who are the authors of ""Coulomb Gas on the Keldysh Contour: Anderson-Yuval-Hamann representation of the Nonequilibrium Two Level System""?
These people are authors: Meng Gao, Sen Zhou, and Ziqiang Wang",0
16,"Who are the authors of ""A note on vacuum energy from the de Sitter spectrum""?
These people are authors: K. Ropotenko",1
17,"Who are the authors of ""A note on vacuum energy from the de Sitter spectrum""?
These people are not authors: K. Ropotenko",0
18,"Who are the authors of ""A note on vacuum energy from the de Sitter spectrum""?
These people are not authors: David Blottiere (appendice d'Andrey Levin)",1
19,"Who are the authors of ""A note on vacuum energy from the de Sitter spectrum""?
These people are authors: David Blottiere (appendice d'Andrey Levin)",0
20,"Who are the authors of ""Eight new T4.5-T7.5 dwarfs discovered in the UKIDSS Large Area Survey Data Release 1""?
These people are authors: N. Lodieu, D. J. Pinfield, S. K. Leggett, R. F. Jameson, D. J. Mortlock, S. J. Warren, and 31 co-authors",1
21,"Who are the authors of ""Eight new T4.5-T7.5 dwarfs discovered in the UKIDSS Large Area Survey Data Release 1""?
These people are not authors: N. Lodieu, D. J. Pinfield, S. K. Leggett, R. F. Jameson, D. J. Mortlock, S. J. Warren, and 31 co-authors",0
22,"Who are the authors of ""Eight new T4.5-T7.5 dwarfs discovered in the UKIDSS Large Area Survey Data Release 1""?
These people are not authors: Carmen Hernando, Merce Mora, Ignacio M. Pelayo, Carlos Seara, David R. Wood",1
23,"Who are the authors of ""Eight new T4.5-T7.5 dwarfs discovered in the UKIDSS Large Area Survey Data Release 1""?
These people are authors: Carmen Hernando, Merce Mora, Ignacio M. Pelayo, Carlos Seara, David R. Wood",0
24,"Who are the authors of ""A graceful multiversal link of particle physics to cosmology""?
These people are authors: Pedro F. Gonzalez-Diaz, Prado Martin-Moruno and Artyom V. Yurov",1
25,"Who are the authors of ""A graceful multiversal link of particle physics to cosmology""?
These people are not authors: Pedro F. Gonzalez-Diaz, Prado Martin-Moruno and Artyom V. Yurov",0
26,"Who are the authors of ""A graceful multiversal link of particle physics to cosmology""?
These people are not authors: F\'elix Majou (IRCCyN), Philippe Wenger (IRCCyN), Damien Chablat (IRCCyN)",1
27,"Who are the authors of ""A graceful multiversal link of particle physics to cosmology""?
These people are authors: F\'elix Majou (IRCCyN), Philippe Wenger (IRCCyN), Damien Chablat (IRCCyN)",0
28,"Who are the authors of ""Skew Divided Difference Operators and Schubert Polynomials""?
These people are authors: Anatol N. Kirillov",1
29,"Who are the authors of ""Skew Divided Difference Operators and Schubert Polynomials""?
These people are not authors: Anatol N. Kirillov",0
30,"Who are the authors of ""Skew Divided Difference Operators and Schubert Polynomials""?
These people are not authors: Carlo Luciano Bianco, Letizia Caito, Remo Ruffini",1
31,"Who are the authors of ""Skew Divided Difference Operators and Schubert Polynomials""?
These people are authors: Carlo Luciano Bianco, Letizia Caito, Remo Ruffini",0
32,"Who are the authors of ""Towards the optimal window for the 2MASS dipole""?
These people are authors: Michal Chodorowski (1), Jean-Baptiste Coiffard (2), Maciej Bilicki (1), Stephane Colombi (3), Pawel Ciecielag (1), ((1) Copernicus Center, (2) Universite Paris XI, (3) Institut d'Astrophysique de Paris)",1
33,"Who are the authors of ""Towards the optimal window for the 2MASS dipole""?
These people are not authors: Michal Chodorowski (1), Jean-Baptiste Coiffard (2), Maciej Bilicki (1), Stephane Colombi (3), Pawel Ciecielag (1), ((1) Copernicus Center, (2) Universite Paris XI, (3) Institut d'Astrophysique de Paris)",0
34,"Who are the authors of ""Towards the optimal window for the 2MASS dipole""?
These people are not authors: Z. Ya. Turakulov",1
35,"Who are the authors of ""Towards the optimal window for the 2MASS dipole""?
These people are authors: Z. Ya. Turakulov",0
36,"Who are the authors of ""Non-propagating degrees of freedom in supergravity and very extended G_2""?
These people are authors: Joaquim Gomis, Diederik Roest",1
37,"Who are the authors of ""Non-propagating degrees of freedom in supergravity and very extended G_2""?
These people are not authors: Joaquim Gomis, Diederik Roest",0
38,"Who are the authors of ""Non-propagating degrees of freedom in supergravity and very extended G_2""?
These people are not authors: Magdalena Djordjevic, Ulrich Heinz",1
39,"Who are the authors of ""Non-propagating degrees of freedom in supergravity and very extended G_2""?
These people are authors: Magdalena Djordjevic, Ulrich Heinz",0
40,"Who are the authors of ""LHC and Dark Matter Signals of Improved Naturalness""?
These people are authors: R. Enberg, P. J. Fox, L. J. Hall, A. Y. Papaioannou, M. Papucci",1
41,"Who are the authors of ""LHC and Dark Matter Signals of Improved Naturalness""?
These people are not authors: R. Enberg, P. J. Fox, L. J. Hall, A. Y. Papaioannou, M. Papucci",0
42,"Who are the authors of ""LHC and Dark Matter Signals of Improved Naturalness""?
These people are not authors: Alister W. Graham",1
43,"Who are the authors of ""LHC and Dark Matter Signals of Improved Naturalness""?
These people are authors: Alister W. Graham",0
44,"Who are the authors of ""Three bodies bind even when two do not: Efimov states and Fano resonances in atoms and nuclei""?
These people are authors: A. R. P. Rau",1
45,"Who are the authors of ""Three bodies bind even when two do not: Efimov states and Fano resonances in atoms and nuclei""?
These people are not authors: A. R. P. Rau",0
46,"Who are the authors of ""Three bodies bind even when two do not: Efimov states and Fano resonances in atoms and nuclei""?
These people are not authors: Pilar Sabariego, Francisco Santos",1
47,"Who are the authors of ""Three bodies bind even when two do not: Efimov states and Fano resonances in atoms and nuclei""?
These people are authors: Pilar Sabariego, Francisco Santos",0
48,"Who are the authors of ""Rectified momentum transport for a kicked Bose-Einstein Condensate""?
These people are authors: Mark Sadgrove, Munekazu Horikoshi, Tetsuo Sekimura, Ken'ichi Nakagawa",1
49,"Who are the authors of ""Rectified momentum transport for a kicked Bose-Einstein Condensate""?
These people are not authors: Mark Sadgrove, Munekazu Horikoshi, Tetsuo Sekimura, Ken'ichi Nakagawa",0
50,"Who are the authors of ""Rectified momentum transport for a kicked Bose-Einstein Condensate""?
These people are not authors: Takafumi Kita",1
51,"Who are the authors of ""Rectified momentum transport for a kicked Bose-Einstein Condensate""?
These people are authors: Takafumi Kita",0
52,"Who are the authors of ""Dijet Azimuthal Correlations in QCD Hard Processes""?
These people are authors: Yazid Delenda",1
53,"Who are the authors of ""Dijet Azimuthal Correlations in QCD Hard Processes""?
These people are not authors: Yazid Delenda",0
54,"Who are the authors of ""Dijet Azimuthal Correlations in QCD Hard Processes""?
These people are not authors: B. Vakili and H. R. Sepangi",1
55,"Who are the authors of ""Dijet Azimuthal Correlations in QCD Hard Processes""?
These people are authors: B. Vakili and H. R. Sepangi",0
56,"Who are the authors of ""Charged Condensation""?
These people are authors: Gregory Gabadadze and Rachel A. Rosen",1
57,"Who are the authors of ""Charged Condensation""?
These people are not authors: Gregory Gabadadze and Rachel A. Rosen",0
58,"Who are the authors of ""Charged Condensation""?
These people are not authors: Mark Agranovsky and Peter Kuchment",1
59,"Who are the authors of ""Charged Condensation""?
These people are authors: Mark Agranovsky and Peter Kuchment",0
60,"Who are the authors of ""Herwig++""?
These people are authors: Martyn Gigg and Peter Richardson (IPPP, Durham University)",1
61,"Who are the authors of ""Herwig++""?
These people are not authors: Martyn Gigg and Peter Richardson (IPPP, Durham University)",0
62,"Who are the authors of ""Herwig++""?
These people are not authors: Kaushar Sanchawala, Wen-Ping Chen, Devendra Ojha, Swarna Kanti Ghosh, Yasushi Nakajima, Motohide Tamura, Daisuke Baba, Shuji Sato, and Masahiro Tsujimoto",1
63,"Who are the authors of ""Herwig++""?
These people are authors: Kaushar Sanchawala, Wen-Ping Chen, Devendra Ojha, Swarna Kanti Ghosh, Yasushi Nakajima, Motohide Tamura, Daisuke Baba, Shuji Sato, and Masahiro Tsujimoto",0
64,"Who are the authors of ""Effects of payoff functions and preference distributions in an adaptive population""?
These people are authors: H. M. Yang, Y. S. Ting, and K. Y. Michael Wong",1
65,"Who are the authors of ""Effects of payoff functions and preference distributions in an adaptive population""?
These people are not authors: H. M. Yang, Y. S. Ting, and K. Y. Michael Wong",0
66,"Who are the authors of ""Effects of payoff functions and preference distributions in an adaptive population""?
These people are not authors: Fabrizio Buscemi, Paolo Bordone, Andrea Bertoni",1
67,"Who are the authors of ""Effects of payoff functions and preference distributions in an adaptive population""?
These people are authors: Fabrizio Buscemi, Paolo Bordone, Andrea Bertoni",0
68,"Who are the authors of ""A simple generalization of the ElGamal cryptosystem to non-abelian groups II""?
These people are authors: Ayan Mahalanobis",1
69,"Who are the authors of ""A simple generalization of the ElGamal cryptosystem to non-abelian groups II""?
These people are not authors: Ayan Mahalanobis",0
70,"Who are the authors of ""A simple generalization of the ElGamal cryptosystem to non-abelian groups II""?
These people are not authors: Regis Blache, Eric Ferard, Hui June Zhu",1
71,"Who are the authors of ""A simple generalization of the ElGamal cryptosystem to non-abelian groups II""?
These people are authors: Regis Blache, Eric Ferard, Hui June Zhu",0
72,"Who are the authors of ""Inverse Systems and I-Favorable Spaces""?
These people are authors: Andrzej Kucharski and Szymon Plewik",1
73,"Who are the authors of ""Inverse Systems and I-Favorable Spaces""?
These people are not authors: Andrzej Kucharski and Szymon Plewik",0
74,"Who are the authors of ""Inverse Systems and I-Favorable Spaces""?
These people are not authors: Li-Gang Wang",1
75,"Who are the authors of ""Inverse Systems and I-Favorable Spaces""?
These people are authors: Li-Gang Wang",0
76,"Who are the authors of ""Fossil AGN jets as ultra high energy particle accelerators""?
These people are authors: Gregory Benford, R.J. Protheroe",1
77,"Who are the authors of ""Fossil AGN jets as ultra high energy particle accelerators""?
These people are not authors: Gregory Benford, R.J. Protheroe",0
78,"Who are the authors of ""Fossil AGN jets as ultra high energy particle accelerators""?
These people are not authors: Stephane Nonnenmacher and Maciej Zworski",1
